,Date,confirmed_inc
1191446,2020-07-19,40425.0
1191447,2020-07-20,37132.0
1191448,2020-07-21,37740.0
1191449,2020-07-22,45720.0
1191450,2020-07-23,49310.0
1191451,2020-07-24,48916.0
1191452,2020-07-25,48611.0
1191453,2020-07-26,49981.0
1191454,2020-07-27,44457.0
1191455,2020-07-28,51596.0
1191456,2020-07-29,50294.0
1191457,2020-07-30,52783.0
1191458,2020-07-31,61242.0
1191459,2020-08-01,54735.0
1191460,2020-08-02,52972.0
1191461,2020-08-03,52050.0
1191462,2020-08-04,52509.0
1191463,2020-08-05,56282.0
1191464,2020-08-06,62538.0
1191465,2020-08-07,61537.0
1191466,2020-08-08,64399.0
1191467,2020-08-09,62064.0
1191468,2020-08-10,53601.0
1191469,2020-08-11,60963.0
1191470,2020-08-12,66999.0
1191471,2020-08-13,64553.0
1191472,2020-08-14,64732.0
1191473,2020-08-15,64030.0
1191474,2020-08-16,57711.0
1191475,2020-08-17,55018.0
1191476,2020-08-18,64572.0
1191477,2020-08-19,69672.0
1191478,2020-08-20,68900.0
1191479,2020-08-21,69876.0
1191480,2020-08-22,69239.0
1191481,2020-08-23,61408.0
1191482,2020-08-24,60975.0
1191483,2020-08-25,57224.0
1191484,2020-08-26,85687.0
1191485,2020-08-27,77266.0
1191486,2020-08-28,76472.0
1191487,2020-08-29,78761.0
1191488,2020-08-30,78512.0
1191489,2020-08-31,69921.0
1191490,2020-09-01,78357.0
1191491,2020-09-02,83883.0
1191492,2020-09-03,83341.0
1191493,2020-09-04,86432.0
1191494,2020-09-05,90632.0
1191495,2020-09-06,90802.0
1191496,2020-09-07,75809.0
1191497,2020-09-08,89706.0
1191498,2020-09-09,95735.0
1191499,2020-09-10,96551.0
1191500,2020-09-11,97570.0
1191501,2020-09-12,94372.0
1191502,2020-09-13,92071.0
1191503,2020-09-14,83809.0
1191504,2020-09-15,90123.0
1191505,2020-09-16,97894.0
1191506,2020-09-17,96424.0
1191507,2020-09-18,93337.0
1191508,2020-09-19,92605.0
1191509,2020-09-20,86961.0
1191510,2020-09-21,75083.0
1191511,2020-09-22,83347.0
1191512,2020-09-23,86508.0
1191513,2020-09-24,86052.0
1191514,2020-09-25,85362.0
1191515,2020-09-26,88600.0
1191516,2020-09-27,82170.0
1191517,2020-09-28,70589.0
1191518,2020-09-29,80472.0
1191519,2020-09-30,86821.0
1191520,2020-10-01,81484.0
1191521,2020-10-02,79476.0
1191522,2020-10-03,75829.0
1191523,2020-10-04,74442.0
1191524,2020-10-05,61267.0
1191525,2020-10-06,72049.0
1191526,2020-10-07,78524.0
1191527,2020-10-08,70496.0
1191528,2020-10-09,73272.0
1191529,2020-10-10,74383.0
1191530,2020-10-11,66732.0
1191531,2020-10-12,55342.0
1191532,2020-10-13,63509.0
1191533,2020-10-14,67708.0
1191534,2020-10-15,63371.0
1191535,2020-10-16,62212.0
1191536,2020-10-17,61871.0
1191537,2020-10-18,55722.0
1191538,2020-10-19,46790.0
1191539,2020-10-20,54044.0
1191540,2020-10-21,55839.0
1191541,2020-10-22,54366.0
1191542,2020-10-23,53370.0
1191543,2020-10-24,50129.0
1191544,2020-10-25,45148.0
1191545,2020-10-26,36470.0
1191546,2020-10-27,43893.0
1191547,2020-10-28,49881.0
1191548,2020-10-29,48648.0
1191549,2020-10-30,48268.0
1191550,2020-10-31,46963.0
1191551,2020-11-01,45231.0
1191552,2020-11-02,38310.0
1191553,2020-11-03,46253.0
1191554,2020-11-04,50210.0
1191555,2020-11-05,47638.0
1191556,2020-11-06,50356.0
1191557,2020-11-07,45674.0
1191558,2020-11-08,45903.0
1191559,2020-11-09,38073.0
1191560,2020-11-10,44281.0
1191561,2020-11-11,47905.0
1191562,2020-11-12,44879.0
1191563,2020-11-13,44684.0
1191564,2020-11-14,41100.0
1191565,2020-11-15,30548.0
1191566,2020-11-16,29163.0
1191567,2020-11-17,38617.0
1191568,2020-11-18,45576.0
1191569,2020-11-19,45882.0
1191570,2020-11-20,46232.0
1191571,2020-11-21,45209.0
1191572,2020-11-22,44059.0
1191573,2020-11-23,37975.0
1191574,2020-11-24,44376.0
1191575,2020-11-25,44489.0
1191576,2020-11-26,43082.0
1191577,2020-11-27,41322.0
1191578,2020-11-28,41810.0
1191579,2020-11-29,38772.0
1191580,2020-11-30,31118.0
1191581,2020-12-01,36604.0
1191582,2020-12-02,35551.0
1191583,2020-12-03,36595.0
1191584,2020-12-04,36652.0
1191585,2020-12-05,36011.0
1191586,2020-12-06,32981.0
1191587,2020-12-07,26567.0
1191588,2020-12-08,32080.0
1191589,2020-12-09,31521.0
1191590,2020-12-10,29373.0
1191591,2020-12-11,30031.0
1191592,2020-12-12,30254.0
1191593,2020-12-13,27071.0
1191594,2020-12-14,22065.0
1191595,2020-12-15,26382.0
1191596,2020-12-16,24010.0
1191597,2020-12-17,22890.0
1191598,2020-12-18,25152.0
1191599,2020-12-19,26624.0
1191600,2020-12-20,24337.0
1191601,2020-12-21,19556.0
1191602,2020-12-22,23950.0
1191603,2020-12-23,24712.0
1191604,2020-12-24,23067.0
1191605,2020-12-25,22273.0
1191606,2020-12-26,18732.0
1191607,2020-12-27,20021.0
1191608,2020-12-28,16432.0
1191609,2020-12-29,20549.0
1191610,2020-12-30,21822.0
1191611,2020-12-31,20035.0
1191612,2021-01-01,39114.0
1191613,2021-01-02,-1858.0
1191614,2021-01-03,16504.0
1191615,2021-01-04,16375.0
1191616,2021-01-05,18088.0
1191617,2021-01-06,20346.0
1191618,2021-01-07,18139.0
1191619,2021-01-08,0.0
1191620,2021-01-09,36867.0
1191621,2021-01-10,16311.0
1191622,2021-01-11,12584.0
1191623,2021-01-12,15968.0
1191624,2021-01-13,16946.0
1191625,2021-01-14,15590.0
1191626,2021-01-15,15158.0
1191627,2021-01-16,15144.0
1191628,2021-01-17,13788.0
1191629,2021-01-18,10050.0
1191630,2021-01-19,13816.0
1191631,2021-01-20,15244.0
1191632,2021-01-21,14545.0
1191633,2021-01-22,14256.0
1191634,2021-01-23,14849.0
1191635,2021-01-24,13203.0
1191636,2021-01-25,9102.0
1191637,2021-01-26,12689.0
1191638,2021-01-27,11666.0
1191639,2021-01-28,18855.0
1191640,2021-01-29,13082.0
1191641,2021-01-30,13044.0
1191642,2021-01-31,11436.0
1191643,2021-02-01,8635.0
1191644,2021-02-02,11039.0
1191645,2021-02-03,12899.0
1191646,2021-02-04,12408.0
1191647,2021-02-05,11713.0
1191648,2021-02-06,12059.0
1191649,2021-02-07,11831.0
1191650,2021-02-08,9110.0
1191651,2021-02-09,11067.0
1191652,2021-02-10,12923.0
1191653,2021-02-11,9309.0
1191654,2021-02-12,12143.0
1191655,2021-02-13,12194.0
1191656,2021-02-14,11649.0
1191657,2021-02-15,9121.0
1191658,2021-02-16,11610.0
1191659,2021-02-17,12881.0
1191660,2021-02-18,13193.0
1191661,2021-02-19,13993.0
1191662,2021-02-20,14264.0
1191663,2021-02-21,14199.0
1191664,2021-02-22,10584.0
1191665,2021-02-23,13742.0
1191666,2021-02-24,16738.0
1191667,2021-02-25,16577.0
1191668,2021-02-26,16488.0
1191669,2021-02-27,16752.0
1191670,2021-02-28,15510.0
1191671,2021-03-01,12286.0
1191672,2021-03-02,14989.0
1191673,2021-03-03,17407.0
1191674,2021-03-04,16838.0
1191675,2021-03-05,18284.0
1191676,2021-03-06,18754.0
1191677,2021-03-07,18599.0
1191678,2021-03-08,15388.0
1191679,2021-03-09,17921.0
1191680,2021-03-10,22854.0
1191681,2021-03-11,23285.0
1191682,2021-03-12,24882.0
1191683,2021-03-13,25320.0
1191684,2021-03-14,26291.0
1191685,2021-03-15,24492.0
1191686,2021-03-16,28903.0
1191687,2021-03-17,35871.0
1191688,2021-03-18,39726.0
1191689,2021-03-19,40953.0
1191690,2021-03-20,43846.0
1191691,2021-03-21,46951.0
1191692,2021-03-22,40715.0
1191693,2021-03-23,47262.0
1191694,2021-03-24,53476.0
1191695,2021-03-25,59118.0
1191696,2021-03-26,62258.0
1191697,2021-03-27,62714.0
1191698,2021-03-28,68020.0
1191699,2021-03-29,56211.0
1191700,2021-03-30,53480.0
1191701,2021-03-31,72330.0
1191702,2021-04-01,81466.0
1191703,2021-04-02,89129.0
1191704,2021-04-03,93249.0
1191705,2021-04-04,103558.0
1191706,2021-04-05,96982.0
1191707,2021-04-06,115736.0
1191708,2021-04-07,126789.0
1191709,2021-04-08,131968.0
1191710,2021-04-09,145384.0
1191711,2021-04-10,152879.0
1191712,2021-04-11,168912.0
1191713,2021-04-12,161736.0
1191714,2021-04-13,184372.0
1191715,2021-04-14,200739.0
1191716,2021-04-15,217353.0
1191717,2021-04-16,234692.0
1191718,2021-04-17,261394.0
1191719,2021-04-18,273802.0
1191720,2021-04-19,259167.0
1191721,2021-04-20,295158.0
1191722,2021-04-21,314644.0
1191723,2021-04-22,332921.0
1191724,2021-04-23,346786.0
1191725,2021-04-24,349691.0
1191726,2021-04-25,352991.0
1191727,2021-04-26,323023.0
1191728,2021-04-27,360927.0
1191729,2021-04-28,379308.0
1191730,2021-04-29,386555.0
1191731,2021-04-30,401993.0
1191732,2021-05-01,392488.0
1191733,2021-05-02,368060.0
1191734,2021-05-03,357316.0
1191735,2021-05-04,382146.0
1191736,2021-05-05,412431.0
1191737,2021-05-06,414188.0
1191738,2021-05-07,401078.0
1191739,2021-05-08,403405.0
1191740,2021-05-09,366494.0
1191741,2021-05-10,329942.0
1191742,2021-05-11,348421.0
1191743,2021-05-12,362727.0
1191744,2021-05-13,343144.0
1191745,2021-05-14,326098.0
1191746,2021-05-15,311170.0
1191747,2021-05-16,281386.0
1191748,2021-05-17,263533.0
1191749,2021-05-18,267334.0
1191750,2021-05-19,276110.0
1191751,2021-05-20,259551.0
1191752,2021-05-21,257299.0
1191753,2021-05-22,240842.0
1191754,2021-05-23,222315.0
1191755,2021-05-24,196427.0
1191756,2021-05-25,208921.0
1191757,2021-05-26,211298.0
1191758,2021-05-27,186364.0
1191759,2021-05-28,173790.0
1191760,2021-05-29,165553.0
1191761,2021-05-30,152734.0
1191762,2021-05-31,127510.0
1191763,2021-06-01,132788.0
1191764,2021-06-02,134154.0
1191765,2021-06-03,132364.0
1191766,2021-06-04,120529.0
1191767,2021-06-05,114460.0
1191768,2021-06-06,100636.0
1191769,2021-06-07,86498.0
1191770,2021-06-08,92596.0
1191771,2021-06-09,93463.0
1191772,2021-06-10,92291.0
1191773,2021-06-11,84332.0
1191774,2021-06-12,80834.0
1191775,2021-06-13,70421.0
1191776,2021-06-14,60471.0
1191777,2021-06-15,62224.0
1191778,2021-06-16,67208.0
1191779,2021-06-17,62480.0
1191780,2021-06-18,60753.0
1191781,2021-06-19,58226.0
1191782,2021-06-20,53449.0
1191783,2021-06-21,42640.0
1191784,2021-06-22,50848.0
