,Date,deaths_inc
1191481,2020-08-23,836
1191482,2020-08-24,848
1191483,2020-08-25,967
1191484,2020-08-26,1115
1191485,2020-08-27,1057
1191486,2020-08-28,1021
1191487,2020-08-29,948
1191488,2020-08-30,971
1191489,2020-08-31,819
1191490,2020-09-01,1045
1191491,2020-09-02,1043
1191492,2020-09-03,1096
1191493,2020-09-04,1089
1191494,2020-09-05,1065
1191495,2020-09-06,1016
1191496,2020-09-07,1133
1191497,2020-09-08,1115
1191498,2020-09-09,1172
1191499,2020-09-10,1209
1191500,2020-09-11,1201
1191501,2020-09-12,1114
1191502,2020-09-13,1136
1191503,2020-09-14,1054
1191504,2020-09-15,1290
1191505,2020-09-16,1132
1191506,2020-09-17,1174
1191507,2020-09-18,1247
1191508,2020-09-19,1133
1191509,2020-09-20,1130
1191510,2020-09-21,1053
1191511,2020-09-22,1085
1191512,2020-09-23,1129
1191513,2020-09-24,1141
1191514,2020-09-25,1089
1191515,2020-09-26,1124
1191516,2020-09-27,1039
1191517,2020-09-28,776
1191518,2020-09-29,1179
1191519,2020-09-30,1181
1191520,2020-10-01,1095
1191521,2020-10-02,1069
1191522,2020-10-03,940
1191523,2020-10-04,903
1191524,2020-10-05,884
1191525,2020-10-06,986
1191526,2020-10-07,971
1191527,2020-10-08,964
1191528,2020-10-09,926
1191529,2020-10-10,918
1191530,2020-10-11,816
1191531,2020-10-12,706
1191532,2020-10-13,730
1191533,2020-10-14,680
1191534,2020-10-15,895
1191535,2020-10-16,837
1191536,2020-10-17,1033
1191537,2020-10-18,579
1191538,2020-10-19,587
1191539,2020-10-20,717
1191540,2020-10-21,702
1191541,2020-10-22,690
1191542,2020-10-23,650
1191543,2020-10-24,578
1191544,2020-10-25,480
1191545,2020-10-26,488
1191546,2020-10-27,508
1191547,2020-10-28,517
1191548,2020-10-29,563
1191549,2020-10-30,551
1191550,2020-10-31,470
1191551,2020-11-01,496
1191552,2020-11-02,490
1191553,2020-11-03,514
1191554,2020-11-04,704
1191555,2020-11-05,670
1191556,2020-11-06,577
1191557,2020-11-07,559
1191558,2020-11-08,490
1191559,2020-11-09,448
1191560,2020-11-10,512
1191561,2020-11-11,550
1191562,2020-11-12,547
1191563,2020-11-13,520
1191564,2020-11-14,447
1191565,2020-11-15,435
1191566,2020-11-16,449
1191567,2020-11-17,474
1191568,2020-11-18,585
1191569,2020-11-19,584
1191570,2020-11-20,564
1191571,2020-11-21,501
1191572,2020-11-22,511
1191573,2020-11-23,480
1191574,2020-11-24,481
1191575,2020-11-25,524
1191576,2020-11-26,492
1191577,2020-11-27,485
1191578,2020-11-28,496
